,id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,sentiment_score
0,44077,2010-08-06,within an hour,100%,99%,t,Churchtown,2,2,"['email', 'phone']",t,t,"Churchtown, Ireland",Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room in bungalow,Private room,2,1.5 shared baths,1.0,2.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Outdoor furniture"", ""Dining table"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Shared patio or balcony"", ""Paid washer \u2013 In unit"", ""Private fenced garden or backyard"", ""Free driveway parking on premises"", ""Central heating"", ""Mini fridge"", ""Clothing storage: closet"", ""Ethernet connection"", ""Dishes and silverware"", ""First aid kit"", ""Paid dryer \u2013 In unit"", ""Cleaning products"", ""Hot water"", ""Shower gel"", ""Lock on bedroom door"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Air conditioning"", ""Free street parking"", ""Bathtub"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Lockbox"", ""Smoke alarm"", ""Room-darkening shades"", ""Outdoor dining area"", ""Wine glasses"", ""Extra pillows and blankets""]",$70.00,3,1125,3,3,1125,1125,3.0,1125.0,t,2,11,18,104,2022-09-12,258,31,7,2011-03-20,2022-09-09,4.78,4.83,4.74,4.93,4.93,4.66,4.82,f,2,0,2,0,0.4015018364728356
1,85156,2010-08-06,within an hour,100%,99%,t,Churchtown,2,2,"['email', 'phone']",t,t,"Churchtown, Ireland",Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room in bungalow,Private room,2,1.5 shared baths,1.0,1.0,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Shared patio or balcony"", ""Private fenced garden or backyard"", ""Ethernet connection"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Free parking on premises"", ""Lock on bedroom door"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Extra pillows and blankets""]",$67.00,3,21,3,3,21,21,3.0,21.0,t,3,9,21,110,2022-09-12,210,28,4,2011-05-24,2022-09-11,4.79,4.86,4.74,4.9,4.88,4.64,4.78,f,2,0,2,0,0.4192285038059242
2,159889,2011-07-01,within an hour,100%,95%,f,Beaumont,3,4,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.39027,-6.23547,Private room in home,Private room,1,2 shared baths,1.0,1.0,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Carbon monoxide alarm"", ""Paid washer"", ""Breakfast"", ""Microwave"", ""Free driveway parking on premises"", ""TV with standard cable"", ""Heating"", ""First aid kit"", ""Hot water"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Private garden or backyard"", ""Essentials"", ""Refrigerator"", ""Wifi"", ""Private patio or balcony"", ""Smoke alarm"", ""Stove"", ""Baby safety gates""]",$45.00,2,21,1,2,21,21,2.0,21.0,t,1,16,36,290,2022-09-12,355,44,6,2012-03-20,2022-09-01,4.74,4.77,4.71,4.86,4.9,4.63,4.74,f,3,0,3,0,0.3798011034972237
3,162809,2011-07-04,within an hour,92%,87%,t,Blackrock,2,2,"['email', 'phone']",t,t,"Dublin, Ireland",Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room in townhouse,Private room,6,1.5 shared baths,2.0,4.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dryer"", ""Dining table"", ""Hangers"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Shared gym nearby"", ""Crib"", ""It works refrigerator"", ""Clothing storage: closet"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Drying rack for clothing"", ""Cleaning products"", ""Hot water"", ""R a d i o sound system"", ""Safe"", ""Eco shampoo"", ""Hair dryer"", ""Babysitter recommendations"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Free street parking"", ""Luggage dropoff allowed"", ""Trash compactor"", ""Essentials"", ""Coffee maker"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Baby safety gates"", ""Baby bath"", ""Extra pillows and blankets"", ""Free carport on premises""]",$80.00,1,12,1,1,12,12,1.0,12.0,t,2,2,2,74,2022-09-11,326,41,1,2015-06-01,2022-08-31,4.84,4.88,4.85,4.95,4.97,4.77,4.85,f,2,0,2,0,0.4222513477435236
4,165828,2011-07-07,within an hour,100%,91%,f,Kilmainham,5,5,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.33744,-6.32363,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,"[""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Cable TV"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Lockbox"", ""Wifi"", ""Smoke alarm""]",$251.00,3,365,3,3,365,365,3.0,365.0,t,1,4,21,31,2022-09-11,64,17,0,2011-10-25,2022-06-28,4.63,4.89,4.69,4.81,4.75,4.34,4.55,t,5,5,0,0,0.318532000877956
5,165829,2011-07-07,within an hour,100%,91%,f,Kilmainham,5,5,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.33744,-6.32363,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Shared patio or balcony"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Cable TV"", ""Luggage dropoff allowed"", ""Essentials"", ""Refrigerator"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove""]",$244.00,3,365,3,3,365,365,3.0,365.0,t,8,12,12,14,2022-09-12,76,20,1,2012-01-22,2022-08-15,4.69,4.85,4.75,4.78,4.73,4.39,4.59,t,5,5,0,0,0.4033403221981008
7,181823,2011-05-20,within an hour,100%,67%,f,Sandymount,2,6,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.3374,-6.22061,Private room in home,Private room,1,1 shared bath,1.0,1.0,"[""Fire extinguisher"", ""Dryer"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Breakfast"", ""Heating"", ""Washer"", ""First aid kit"", ""Hot water"", ""Free parking on premises"", ""TV with Netflix, standard cable"", ""Hair dryer"", ""Iron"", ""Cable TV"", ""Essentials"", ""Wifi"", ""Smoke alarm""]",$139.00,1,1125,1,1,1125,1125,1.0,1125.0,t,2,2,2,2,2022-09-12,50,0,0,2011-08-18,2019-05-16,4.6,4.62,4.47,4.79,4.83,4.47,4.47,f,2,0,2,0,0.41829394744397574
10,292757,2011-12-18,within a few hours,100%,91%,t,Castleknock,1,1,"['email', 'phone', 'work_email']",t,t,"Dublin, Ireland",Dublin City,53.36949,-6.34889,Entire home,Entire home/apt,9,2.5 baths,4.0,5.0,"[""Oven"", ""Outdoor furniture"", ""Hangers"", ""Indoor fireplace"", ""Security cameras on property"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Microwave"", ""High chair"", ""Shared patio or balcony"", ""Crib"", ""Private fenced garden or backyard"", ""Pack \u2019n play/Travel crib"", ""Ethernet connection"", ""Heating"", ""Dishes and silverware"", ""Baby monitor"", ""Dedicated workspace"", ""Hot water"", ""Free parking on premises"", ""Free washer \u2013 In building"", ""Free dryer \u2013 In building"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Babysitter recommendations"", ""Iron"", ""Dishwasher"", ""Air conditioning"", ""Free street parking"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Private pool"", ""55\"" HDTV with standard cable, Netflix, Amazon Prime Video, premium cable"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""BBQ grill"", ""Bed linens"", ""Children\u2019s dinnerware"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Baby safety gates"", ""Baby bath"", ""Extra pillows and blankets""]",$121.00,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,25,2022-09-11,362,30,0,2012-09-02,2022-08-06,4.92,4.91,4.78,4.95,4.95,4.94,4.84,f,1,1,0,0,0.4108854624815339
11,302554,2012-01-02,within an hour,100%,99%,f,Stoneybatter/Arbour Hill,8,8,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.35681,-6.29094,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove""]",$200.00,2,365,2,5,365,365,3.0,365.0,t,4,8,15,227,2022-09-12,59,4,0,2012-03-05,2022-06-01,4.67,4.72,4.83,4.93,4.9,4.44,4.65,t,8,8,0,0,0.3547030269642478
12,302634,2012-01-02,within an hour,100%,99%,f,Stoneybatter/Arbour Hill,8,8,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.35681,-6.29094,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Cable TV"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove""]",$101.00,2,365,2,5,365,365,3.0,365.0,t,0,0,0,0,2022-09-12,105,21,4,2012-02-28,2022-09-11,4.61,4.69,4.75,4.83,4.91,4.47,4.48,t,8,8,0,0,0.326897707884588
